date,cases,,,,,,,
11/3/2020,1.00,,,,,,,
12/3/2020,2.00,,,,,,,
13/3/2020,2.00,,,,,,,
14/3/2020,5.00,,,,,,,
15/3/2020,8.00,,,,,,,
16/3/2020,10.00,,,,,,,
17/3/2020,14.00,,,,,,,
18/3/2020,11.00,,,,,,,
19/3/2020,12.00,,,,,,,
20/3/2020,6.00,,,,,,,
21/3/2020,6.00,,,,,,,
22/3/2020,9.00,,,,,,,
23/3/2020,10.00,,,,,,,
24/3/2020,5.00,,,,,,,
25/3/2020,0.00,,,,,,,
26/3/2020,4.00,,,,,,,
27/3/2020,0.00,,,,,,,
28/3/2020,9.00,,,,,,,
29/3/2020,2.00,,,,,,,
30/3/2020,5.00,,,,,,,
31/3/2020,21.00,,,,,,,
1/4/2020,5.00,,,,,,,
2/4/2020,3.00,,,,,,,
3/4/2020,8.00,,,,,,,
4/4/2020,7.00,,,,,,,
5/4/2020,10.00,,,,,,,
6/4/2020,2.00,,,,,,,
7/4/2020,7.00,,,,,,,
8/4/2020,4.00,,,,,,,
9/4/2020,1.00,,,,,,,
10/4/2020,7.00,,,,,,,
11/4/2020,2.00,,,,,,,
12/4/2020,11.00,,,,,,,
13/4/2020,8.00,,,,,,,
14/4/2020,15.00,,,,,,,
15/4/2020,5.00,,,,,,,
16/4/2020,0.00,,,,,,,
17/4/2020,6.00,,,,,,,
18/4/2020,10.00,,,,,,,
19/4/2020,17.00,,,,,,,
20/4/2020,33.00,,,,,,,
21/4/2020,6.00,,,,,,,
22/4/2020,20.00,,,,,,,
23/4/2020,38.00,,,,,,,
24/4/2020,52.00,,,,,,,
25/4/2020,40.00,,,,,,,
26/4/2020,63.00,,,,,,,
27/4/2020,65.00,,,,,,,
28/4/2020,31.00,,,,,,,
29/4/2020,30.00,,,,,,,
30/4/2020,16.00,,,,,,,
1/5/2020,25.00,,,,,,,
2/5/2020,15.00,,,,,,,
3/5/2020,13.00,,,,,,,
4/5/2020,37.00,,,,,,,
5/5/2020,16.00,,,,,,,
6/5/2020,29.00,,,,,,,
7/5/2020,27.00,,,,,,,
8/5/2020,11.00,,,,,,,
9/5/2020,12.00,,,,,,,
10/5/2020,16.00,,,,,,,
11/5/2020,6.00,,,,,,,
12/5/2020,20.00,,,,,,,
13/5/2020,26.00,,,,,,,
14/5/2020,10.00,,,,,,,
15/5/2020,10.00,,,,,,,
16/5/2020,25.00,,,,,,,
17/5/2020,21.00,,,,,,,
18/5/2020,11.00,,,,,,,
19/5/2020,35.00,,,,,,,
20/5/2020,0.00,,,,,,,
21/5/2020,27.00,,,,,,,
22/5/2020,13.00,,,,,,,
23/5/2020,21.00,,,,,,,
24/5/2020,52.00,,,,,,,
25/5/2020,41.00,,,,,,,
26/5/2020,137.00,,,,,,,
27/5/2020,150.00,,,,,,,
28/5/2020,61.00,,,,,,,
29/5/2020,28.00,,,,,,,
30/5/2020,62.00,,,,,,,
31/5/2020,13.00,,,,,,,
1//6/2020,10.00,,,,,,,
2/6/2020,40.00,,,,,,,
3/6/2020,66.00,,,,,,,
4/6/2020,48.00,,,,,,,
5/6/2020,4.00,,,,,,,
6/6/2020,13.00,,,,,,,
7/6/2020,21.00,,,,,,,
8/6/2020,22.00,,,,,,,
9/6/2020,2.00,,,,,,,
10/6/2020,10.00,,,,,,,
11/6/2020,8.00,,,,,,,
12/6/2020,3.00,,,,,,,
13/6/2020,4.00,,,,,,,
14/6/2020,5.00,,,,,,,
15/6/2020,16.00,,,,,,,
16/6/2020,10.00,,,,,,,
17/6/2020,9.00,,,,,,,
18/6/2020,23.00,,,,,,,
19/6/2020,3.00,,,,,,,
20/6/2020,0.00,,,,,,,
21/6/2020,0.00,,,,,,,
22/6/2020,1.00,,,,,,,
23/6/2020,40.00,,,,,,,
24/6/2020,10.00,,,,,,,
25/6/2020,9.00,,,,,,,
26/6/2020,4.00,,,,,,,
27/6/2020,19.00,,,,,,,
28/6/2020,4.00,,,,,,,
29/6/2020,5.00,,,,,,,
30/6/2020,5.00,,,,,,,
1/7/2020,7.00,,,,,,,
2/7/2020,12.00,,,,,,,
3/7/2020,3.00,,,,,,,
4/7/2020,5.00,,,,,,,
5/7/2020,2.00,,,,,,,
6/7/2020,1.00,,,,,,,
8/7/2020,4.00,,,,,,,
9/7/2020,4.00,,,,,,,
10/7/2020,274.00,,,,,,,
11/7/2020,104.00,,,,,,,
12/7/2020,57.00,,,,,,,
13/7/2020,106.00,,,,,,,
14/7/2020,29.00,,,,,,,
15/7/2020,19.00,,,,,,,
16/7/2020,9.00,,,,,,,
17/7/2020,12.00,,,,,,,
18/7/2020,4.00,,,,,,,
19/7/2020,1.00,,,,,,,
20/7/2020,20.00,,,,,,,
21/7/2020,9.00,,,,,,,
22/7/2020,0.00,,,,,,,
23/7/2020,21.00,,,,,,,
24/7/2020,1.00,,,,,,,
25/7/2020,2.00,,,,,,,
26/7/2020,6.00,,,,,,,
27/7/2020,6.00,,,,,,,
28/7/2020,23.00,,,,,,,
29/7/2020,5.00,,,,,,,
30/7/2020,1.00,,,,,,,
31/7/2020,3.00,,,,,,,
